method,edge,Malattia_A_(Exposure),Malattia_B_(Outcome),Causal_Effect_ATE,SE,z_value,p_value,global_q_value,global_fdr_significant,CI_Lower_95,CI_Upper_95,Placebo_ATE_IPW,N,N_treated,N_control,ESS_ipw,trim_frac,e_min,e_median,e_max,n_folds,cross_fitted
aipw_logistic,BLD->ENDO,BLD,ENDO,0.03080932721529667,0.005124093006679292,6.0126401248253085,1.8252594990997295e-09,2.9204151985595674e-09,True,0.020766104922205257,0.040852549508388084,-0.002683712824963327,28944,7236,21708,19463.336080963905,0.0,0.10470523472280494,0.2738312553674022,0.8566100951386072,5,True
aipw_logistic,ENDO->DIGE,ENDO,DIGE,0.03800689702709381,0.004263415753395166,8.914658861694889,0.0,0.0,True,0.029650602150439284,0.04636319190374834,-0.005073243208209435,59545,14887,44658,42194.41811773864,1.6794021328407087e-05,0.0,0.2498626350750905,0.9659464059959916,5,True
aipw_logistic,INJ->DIGE,INJ,DIGE,0.016363833326457793,0.005229792091290203,3.1289644102124896,0.001754235543907079,0.001754235543907079,True,0.0061134408275289945,0.02661422582538659,0.0016910596824983523,61068,15267,45801,31908.09491090241,0.0002947533896639811,0.00011292654133230198,0.24614546911137847,0.6661347835202613,5,True
aipw_logistic,MENT->MUSC,MENT,MUSC,0.02390968160566903,0.005887683389591282,4.0609659221721195,4.887010514176282e-05,5.5851548733443224e-05,True,0.012369822162070119,0.035449541049267945,-0.0036504448915836616,38508,9627,28881,26674.218481425305,5.193725979017347e-05,0.005209805093949793,0.24989072011868105,0.9626990714931044,5,True
aipw_logistic,MENT->NERV,MENT,NERV,0.04613816109869415,0.0049375888108723264,9.34426961538397,0.0,0.0,True,0.036460487029384384,0.05581583516800391,0.00046869247738655335,40192,10048,30144,27924.848126247474,9.952229299363058e-05,0.003758704762275391,0.25565184845269806,0.9987130103131273,5,True
aipw_logistic,NEOP->DIGE,NEOP,DIGE,0.04385376049546018,0.006986791477211001,6.276666569840982,3.459086350687812e-10,6.918172701375624e-10,True,0.030159649200126617,0.057547871790793736,0.0023020035606047193,29556,7389,22167,20639.190598397614,6.766815536608472e-05,0.0,0.2627413309068499,0.9696300956623738,5,True
aipw_logistic,NEOP->GEN,NEOP,GEN,0.05884004255414608,0.006495721597450037,9.058276539629462,0.0,0.0,True,0.04610842822314401,0.07157165688514815,0.008990714531622541,31464,7866,23598,20562.31235893669,0.0001589117721840834,0.0005000909086750955,0.25079962981424486,0.9557874726690125,5,True
aipw_logistic,NERV->GEN,NERV,GEN,0.018936192534169335,0.0036127246453956,5.241526657256711,1.5925346463774304e-07,2.1233795285032406e-07,True,0.011855252229193959,0.02601713283914471,-0.0006633129562108225,83798,20950,62848,55102.50016604936,0.00019093534451896226,9.579899347585653e-05,0.25222798668403923,1.0,5,True
chronos_full,BLD->ENDO,BLD,ENDO,0.0549034843578042,0.0038254333771899,14.352225994884275,0.0,0.0,True,0.0474056349385118,0.0624013337770966,-0.0443771373203038,28944,7236,21708,26829.682243439376,0.0,0.1692807972431183,0.4507771730422973,0.903462827205658,5,True
chronos_full,ENDO->DIGE,ENDO,DIGE,0.0687685027645614,0.003844456589306,17.887704326237202,0.0,0.0,True,0.0612333678495215,0.0763036376796013,-0.0427213653957963,59545,14887,44658,48715.45514959118,0.0,0.1345877349376678,0.4567869007587433,0.9755274057388306,5,True
chronos_full,INJ->DIGE,INJ,DIGE,0.0551278655924069,0.003577704676256,15.408724470264511,0.0,0.0,True,0.048115564426945,0.0621401667578689,-0.0373737622507547,61068,15267,45801,49490.67174665907,0.0,0.0308208037167787,0.3925718367099762,0.9683346748352052,5,True
chronos_full,MENT->MUSC,MENT,MUSC,0.043242909570725,0.0045390656456299,9.526830618181858,0.0,0.0,True,0.0343463409052902,0.0521394782361597,-0.0412451514023743,38508,9627,28881,35444.73323650763,0.0,0.182073175907135,0.4325873255729675,0.9500989317893982,5,True
chronos_full,MENT->NERV,MENT,NERV,0.0577422895389267,0.0036076237146641,16.0056297734761,0.0,0.0,True,0.050671347058185,0.0648132320196684,-0.0194570202768299,40192,10048,30144,37486.88283050142,0.0,0.07416882365942,0.4609038233757019,0.9391754269599916,5,True
chronos_full,NEOP->DIGE,NEOP,DIGE,0.0465597462380288,0.0050302257414001,9.255995383035954,0.0,0.0,True,0.0367005037848844,0.0564189886911732,-0.036256995927082,29556,7389,22167,27545.02450337762,0.0,0.0275879744440317,0.4277347922325134,0.9187952280044556,5,True
chronos_full,NEOP->GEN,NEOP,GEN,0.0690123550989276,0.0047854826919881,14.421189990816885,0.0,0.0,True,0.0596328090226307,0.0783919011752244,-0.0222770282356973,31464,7866,23598,29361.175065212643,0.0,0.0797139480710029,0.4619832336902618,0.9566013216972352,5,True
chronos_full,NERV->GEN,NERV,GEN,0.0492060325713763,0.0030165106245854,16.31223579003263,0.0,0.0,True,0.0432936717471889,0.0551183933955638,-0.021090199320536,83798,20950,62848,60492.4090695269,0.0,0.0801358968019485,0.4265697598457336,0.9797596335411072,5,True
naive_rd,BLD->ENDO,BLD,ENDO,0.03805048829924454,0.005728713717152861,6.6420648993707125,3.0931923689081486e-11,4.1242564918775315e-11,True,0.026822209413624933,0.049278767184864146,-0.0037313432835820934,28944,7236,21708,28944.0,0.0,,,,1,False
naive_rd,ENDO->DIGE,ENDO,DIGE,0.055865738566103884,0.0045601265570652675,12.25091844864434,0.0,0.0,True,0.04692789051425596,0.06480358661795181,-0.0026894936886766516,59545,14887,44658,59545.0,0.0,,,,1,False
naive_rd,INJ->DIGE,INJ,DIGE,-0.00810025981965462,0.004442611782505721,-1.823310299484668,0.0682564072632692,0.0682564072632692,False,-0.016807778913365833,0.0006072592740565923,-0.0039082116111002,61068,15267,45801,61068.0,0.0,,,,1,False
naive_rd,MENT->MUSC,MENT,MUSC,0.052837505626536496,0.0058366883088291615,9.052651577540841,0.0,0.0,True,0.04139759654123134,0.06427741471184165,0.00010387451958034088,38508,9627,28881,38508.0,0.0,,,,1,False
naive_rd,MENT->NERV,MENT,NERV,0.0658505838641189,0.004656310782831872,14.142222659817811,0.0,0.0,True,0.056724214729768435,0.07497695299846938,0.0036159766454352434,40192,10048,30144,40192.0,0.0,,,,1,False
naive_rd,NEOP->DIGE,NEOP,DIGE,0.0549465421572608,0.006531499248772055,8.412546654979858,0.0,0.0,True,0.04214480362966758,0.06774828068485403,0.004601434564893758,29556,7389,22167,29556.0,0.0,,,,1,False
naive_rd,NEOP->GEN,NEOP,GEN,0.08153233324858039,0.0059940135195551076,13.602293852455633,0.0,0.0,True,0.06978406675025238,0.0932805997469084,0.01228917704890245,31464,7866,23598,31464.0,0.0,,,,1,False
naive_rd,NERV->GEN,NERV,GEN,0.015234774873741697,0.003492955217422807,4.361571771018098,1.2913142248827114e-05,1.4757876855802416e-05,True,0.008388582647592995,0.022080967099890398,-0.0017509290134108471,83798,20950,62848,83798.0,0.0,,,,1,False
pred_only,BLD->ENDO,BLD,ENDO,0.0296181326802951,0.0054402296728474,5.444279830339031,5.201539554633428e-08,5.201539554633428e-08,True,0.0189552825215141,0.0402809828390761,-0.0462914510699842,28944,7236,21708,15168.537064338629,0.0043186843559977,0.1418391466140747,0.460928201675415,0.9930697083473206,5,True
pred_only,ENDO->DIGE,ENDO,DIGE,0.0546364113005904,0.0065013432957088,8.403864988432836,0.0,0.0,True,0.041893778441001,0.0673790441601798,-0.0447870589633004,59545,14887,44658,19244.577977680347,0.0,0.08359956741333,0.4580335617065429,0.9884668588638306,5,True
pred_only,INJ->DIGE,INJ,DIGE,0.0487864401349171,0.0052129765869079,9.35865322269835,0.0,0.0,True,0.0385690060245775,0.0590038742452567,-0.0416042130465418,61068,15267,45801,20997.368457481247,0.0037007925591144,0.2989434897899627,0.4035278558731079,0.9914022088050842,5,True
pred_only,MENT->MUSC,MENT,MUSC,0.0510972449078667,0.0064654282065062,7.903149377862821,2.664535259100376e-15,4.263256414560602e-15,True,0.0384250056231144,0.063769484192619,-0.0467724119155178,38508,9627,28881,17279.308204458288,0.0020774903916069,0.265884667634964,0.4452337622642517,0.9917190074920654,5,True
pred_only,MENT->NERV,MENT,NERV,0.0597274116404788,0.0052580690589642,11.35919117278458,0.0,0.0,True,0.0494215962849088,0.0700332269960488,-0.0221645832314408,40192,10048,30144,15768.888795637356,0.0003732085987261,0.2614836990833282,0.4482193291187286,0.9922590851783752,5,True
pred_only,NEOP->DIGE,NEOP,DIGE,0.0600414597307518,0.010651653439867,5.636820618480568,1.732183796399056e-08,1.979638624456064e-08,True,0.0391642189886125,0.0809187004728912,-0.0469986382717942,29556,7389,22167,7012.223927580389,0.0224996616592231,0.1531876176595688,0.4555911719799042,0.9962133765220642,5,True
pred_only,NEOP->GEN,NEOP,GEN,0.0635812798987558,0.0079506598126663,7.996981558368675,1.3322676295501878e-15,2.6645352591003757e-15,True,0.0479979866659297,0.0791645731315819,-0.0214796636676838,31464,7866,23598,10663.974231544484,0.0043859649122807,0.1588799059391021,0.4412563443183899,0.9908074736595154,5,True
pred_only,NERV->GEN,NERV,GEN,0.0316048527613941,0.0053212013136397,5.939420611729535,2.860311543173566e-09,3.813748724231421e-09,True,0.0211752981866602,0.042034407336128,-0.0250954883424643,83798,20950,62848,21592.705151725502,0.0097257691114346,0.2837021946907043,0.4334851503372192,0.9919845461845398,5,True
